,nces_district_id,state_district_id,lea_name,students,teachers,schools,locale,student_teacher_ratio,percent_of_inexperienced_teachers,percent_of_out_of_field_teachers,student_school_psychologists_ratio,student_support_services_staff_ratio,student_school_counselors_ratio,student_librarians_media_specialists_ratio,percent_title_1_schools,percent_title_1_schoolwide_schools
101,5103210,VA-078,RAPPAHANNOCK CO PBLC SCHS,791,64.2,2,Rural,12.3,5.2,1.3,791.0,164.8,158.2,219.7,50.0,0.0
102,5103240,VA-123,RICHMOND CITY PBLC SCHS,25211,1483.8,54,City,17.0,16.4,5.9,1260.5,192.5,206.6,315.1,63.0,100.0
103,5103270,VA-079,RICHMOND CO PBLC SCHS,1301,89.3,3,Rural,14.6,4.7,3.8,1301.0,147.8,216.8,394.2,33.3,100.0
104,5103300,VA-124,ROANOKE CITY PBLC SCHS,14039,899.9,26,City,15.6,10.3,0.8,1613.7,138.6,167.3,245.9,73.1,100.0
105,5103330,VA-080,ROANOKE CO PBLC SCHS,13999,1020.6,28,Suburb,13.7,3.6,0.1,1749.9,444.4,194.4,538.4,21.4,100.0
106,5103370,VA-081,ROCKBRIDGE CO PBLC SCHS,2819,217.2,6,Town,13.0,3.3,1.1,939.7,71.9,165.8,254.0,66.7,100.0
107,5103390,VA-082,ROCKINGHAM CO PBLC SCHS,11911,787.0,23,Rural,15.1,3.8,1.3,1985.2,135.4,165.9,145.6,47.8,100.0
108,5103420,VA-083,RUSSELL CO PBLC SCHS,3715,267.0,13,Rural,13.9,6.2,1.5,3715.0,275.2,142.9,206.4,61.5,75.0
109,5103460,VA-139,SALEM CITY PBLC SCHS,3926,260.9,6,Suburb,15.0,1.6,6.1,1308.7,306.7,215.7,490.8,33.3,100.0
110,5103480,VA-084,SCOTT CO PBLC SCHS,3512,240.2,14,Suburb,14.6,2.2,7.4,3512.0,150.7,175.6,209.0,64.3,88.9
111,5103510,VA-085,SHENANDOAH CO PBLC SCHS,6002,445.8,10,Town,13.5,3.8,3.6,2000.7,107.4,166.7,366.0,30.0,100.0
112,5103520,VA-086,SMYTH CO PBLC SCHS,4268,309.5,14,Rural,13.8,2.2,7.2,2134.0,76.1,190.5,201.3,50.0,100.0
113,5103600,VA-087,SOUTHAMPTON CO PBLC SCHS,2803,180.4,7,Rural,15.5,9.8,18.7,2803.0,101.9,155.7,467.2,42.9,100.0
114,5103640,VA-088,SPOTSYLVANIA CO PBLC SCHS,23882,1417.5,34,Suburb,16.8,19.5,5.6,2076.7,44.8,188.0,274.5,26.5,88.9
