Geographic Area Name,ID,Total Below poverty level,Total Below poverty level AGE Under 18 years,Total Below poverty level AGE 18 to 64 years,Total Below poverty level White alone,Total Below poverty level Black or African American alone,Total Below poverty level American Indian and Alaska Native alone,Total Below poverty level Asian alone,Total Below poverty level Native Hawaiian and Other Pacific Islander alone,Total Below poverty level Some other race alone,Total Below poverty level Two or more races,Total Below poverty level Hispanic or Latino origin (of any race),Total Below poverty level 25 years and over,Total Below poverty level 25 years and over Less than high school graduate,Total Below poverty level 25 years and over High school graduate (includes equivalency),Total Below poverty level 25 years and over Some college associate's degree,Total Below poverty level 25 years and over Bachelor's degree or higher,Total Below poverty level Civilian labor force 16 years and over,Total Below poverty level Civilian labor force 16 years and over Employed,Total Below poverty level Civilian labor force 16 years and over Unemployed,Total Percent below poverty level,Total Percent below poverty level AGE Under 18 years,Total Percent below poverty level AGE 18 to 64 years,Total Percent below poverty level White alone,Total Percent below poverty level Black or African American alone,Total Percent below poverty level American Indian and Alaska Native alone,Total Percent below poverty level Asian alone,Total Percent below poverty level Native Hawaiian and Other Pacific Islander alone,Total Percent below poverty level Some other race alone,Total Percent below poverty level Two or more races,Total Percent below poverty level Hispanic or Latino origin (of any race),Total Percent below poverty level 25 years and over,Total Percent below poverty level 25 years and over Less than high school graduate,Total Percent below poverty level 25 years and over High school graduate (includes equivalency),Total Percent below poverty level 25 years and over Some college associate's degree,Total Percent below poverty level 25 years and over Bachelor's degree or higher,Total Percent below poverty level Civilian labor force 16 years and over,Total Percent below poverty level Civilian labor force 16 years and over Employed,Total Percent below poverty level Civilian labor force 16 years and over Unemployed
Wythe County,b'0500000US51197',4230,1159,2556,3612,287,62,80,0,29,160,180,2635,814,1151,515,155,1137,708,429,14.8,20.9,14.9,13.3,35.4,100.0,62.0,,72.5,40.2,50.0,12.5,28.1,14.5,8.4,3.9,8.0,5.3,54.5
York County,b'0500000US51199',3273,996,1724,2445,529,0,79,0,148,72,421,2102,421,708,641,332,927,651,276,4.9,6.2,4.3,5.0,6.0,0.0,2.1,0.0,15.4,2.3,10.4,4.6,17.9,8.3,4.9,1.5,2.9,2.1,15.2
Alexandria city,b'0500000US51510',16108,5345,9581,6587,5824,183,591,0,1580,1343,5004,8863,2278,2123,2290,2172,5843,4679,1164,10.3,18.8,8.7,6.8,17.3,51.8,6.4,0.0,22.2,16.1,19.2,7.5,27.9,15.6,10.6,2.9,5.8,4.8,38.2
Bristol city,b'0500000US51520',3753,1358,1985,3070,338,0,10,0,73,262,73,2098,602,741,466,289,848,659,189,22.6,37.8,20.8,20.4,37.3,,27.0,,100.0,48.8,18.7,17.6,33.4,21.1,13.1,9.4,11.5,9.5,42.5
Buena Vista city,b'0500000US51530',1519,449,999,1382,0,0,123,0,14,0,14,806,243,372,137,54,595,588,7,25.5,33.6,28.6,25.7,0.0,,100.0,,33.3,,14.6,20.0,33.2,22.6,13.6,8.3,21.5,21.6,15.9
Charlottesville city,b'0500000US51540',10645,1492,8618,6671,2499,5,1008,0,20,442,833,4219,764,1232,913,1310,3457,2959,498,24.1,20.8,27.0,21.2,29.3,4.9,39.1,0.0,11.3,35.0,35.2,14.0,29.0,25.0,15.5,7.9,13.8,12.3,49.0
Chesapeake city,b'0500000US51550',20024,8540,10165,9016,9639,13,242,14,467,633,2411,9584,2058,3365,3173,988,5285,4390,895,8.6,14.9,7.0,6.3,14.0,3.3,3.2,10.6,13.1,6.7,16.5,6.1,18.6,9.1,5.7,1.9,4.5,3.9,16.5
Colonial Heights city,b'0500000US51570',2083,628,1262,1307,401,0,227,0,0,148,128,1178,279,496,371,32,738,437,301,12.1,16.3,12.8,10.1,15.3,0.0,31.4,0.0,0.0,27.8,12.6,9.8,27.8,13.2,9.0,1.0,8.7,5.6,43.9
Covington city,b'0500000US51580',722,237,369,608,81,0,0,11,0,22,20,426,79,213,109,25,278,239,39,13.2,21.1,11.5,13.5,11.6,,0.0,100.0,,11.3,15.0,10.9,16.3,12.4,10.1,4.0,10.5,9.4,47.6
Danville city,b'0500000US51590',8813,2933,4945,2156,5928,8,38,18,22,643,220,4955,1566,1610,1483,296,2504,1819,685,22.4,33.4,21.6,12.2,30.1,23.5,7.9,66.7,9.8,51.7,13.3,18.0,32.8,18.7,16.3,5.9,14.0,11.1,44.6
Emporia city,b'0500000US51595',1408,650,629,279,813,0,0,0,0,316,222,699,219,232,219,29,419,226,193,27.0,41.6,21.5,19.7,24.4,0.0,0.0,,0.0,69.5,61.8,21.2,36.1,20.3,20.3,6.2,16.9,11.9,33.4
Fairfax City,b'0500000US51600',2113,373,1637,1315,33,0,480,0,162,123,607,895,128,85,251,431,928,742,186,9.3,7.3,11.2,8.5,3.2,0.0,12.0,,14.4,10.3,15.3,5.7,14.0,4.2,8.3,4.4,7.0,5.8,35.0
Falls Church city,b'0500000US51610',445,78,343,311,46,0,49,0,17,22,190,262,0,66,99,97,231,214,17,3.2,2.3,3.9,2.8,6.7,0.0,3.5,,6.0,4.6,12.6,2.7,0.0,9.5,7.3,1.3,2.8,2.7,5.4
Franklin city,b'0500000US51620',1178,466,432,106,1023,0,49,0,0,0,0,712,215,302,139,56,190,130,60,14.7,22.7,9.6,3.6,22.3,,47.6,,0.0,0.0,0.0,12.6,28.3,18.7,6.4,5.1,4.7,3.8,11.0
Fredericksburg city,b'0500000US51630',4052,1185,2499,2163,1032,0,67,0,452,338,459,1929,357,833,593,146,1435,1161,274,15.5,20.2,14.6,13.7,16.7,0.0,9.2,0.0,31.4,18.4,15.9,11.2,21.1,20.3,13.5,2.1,9.2,7.8,40.5
Galax city,b'0500000US51640',1490,470,912,1439,30,0,13,0,0,8,365,925,281,352,242,50,399,318,81,23.8,33.8,25.2,25.6,6.4,,31.0,,0.0,47.1,38.6,20.5,27.2,25.1,17.3,7.4,14.1,12.1,38.9
Hampton city,b'0500000US51650',19751,6465,11326,5342,13006,0,308,17,511,567,862,10689,1660,4375,3559,1095,6203,4822,1381,15.2,23.2,13.8,9.9,20.2,0.0,9.4,12.5,23.4,10.7,11.4,11.9,21.9,16.9,11.2,4.5,9.5,7.9,36.0
Harrisonburg city,b'0500000US51660',13025,1581,11035,10619,1147,0,466,0,144,649,2312,3575,767,1304,875,629,5202,4516,686,28.3,18.4,33.5,28.7,33.1,0.0,30.4,,20.0,20.3,22.9,13.5,18.1,19.7,15.0,6.4,20.6,18.7,61.3
Hopewell city,b'0500000US51670',5253,2112,2711,1771,2969,0,105,0,108,300,647,2569,727,1042,578,222,1615,1295,320,23.6,36.7,20.6,15.6,30.6,0.0,34.9,,29.1,57.0,36.3,17.6,26.7,19.4,13.2,10.2,15.8,13.6,45.3
